                        value  count     ratio
                    응급구조사(1급) 752783 60.214066
                          간호사 388550 31.079574
                    응급구조사(2급)  83633  6.689687
                          NaN  22640  1.810942
                        구급기타1   1287  0.102945
          응급구조사(1급),응급구조사(1급)    505  0.040394
          응급구조사(2급),응급구조사(1급)    198  0.015838
                      간호사,간호사    169  0.013518
                간호사,응급구조사(1급)     98  0.007839
                응급구조사(1급),간호사     98  0.007839
          응급구조사(1급),응급구조사(2급)     45  0.003599
          응급구조사(2급),응급구조사(2급)     40  0.003200
                응급구조사(2급),간호사     32  0.002560
                           기타     29  0.002320
                간호사,응급구조사(2급)     27  0.002160
                    구급기타1,간호사      9  0.000720
                        구급대원1      8  0.000640
              응급구조사(1급),구급기타1      7  0.000560
                    간호사,구급기타1      6  0.000480
              응급구조사(2급),구급기타1      3  0.000240
              구급기타1,응급구조사(1급)      3  0.000240
                       간호사,기타      2  0.000160
                 응급구조사(1급),기타      2  0.000160
응급구조사(1급),응급구조사(1급),응급구조사(1급)      1  0.000080
                  간호사,간호사,간호사      1  0.000080
              구급기타1,응급구조사(2급)      1  0.000080
                구급기타1,간호사,간호사      1  0.000080
