              value  count     ratio
                 객혈    536  0.042874
            전신쇠약,오심    534  0.042714
       두통,전신쇠약,어지러움    528  0.042234
            열상,어지러움    527  0.042154
              두통,요통    521  0.041674
         그 밖의출혈,찰과상    519  0.041514
    기타통증,골절,그밖의통증기타    518  0.041434
            실신,전신쇠약    515  0.041194
     기타통증,그 밖의출혈,기타    502  0.040154
       호흡곤란,고열,전신쇠약    494  0.039514
       의식장애,호흡곤란,고열    490  0.039194
          기타통증,경추통증    489  0.039114
            흉통,어지러움    483  0.038634
         전신쇠약,오심,구토    475  0.037995
           기타,오심,구토    474  0.037915
               분만진통    469  0.037515
           오심/구토,고열    468  0.037435
                 발작    453  0.036235
      두통,오심/구토,어지러움    452  0.036155
         두통,기타,전신쇠약    445  0.035595
              고열,설사    442  0.035355
              실신,기타    439  0.035115
         복통,기타,전신쇠약    430  0.034395
       전신쇠약,어지러움,구토    423  0.033835
             두통,타박상    421  0.033675
             요통,타박상    420  0.033595
    오심/구토,전신쇠약,어지러움    419  0.033515
          열상,찰과상,기타    415  0.033195
           기타통증,비출혈    414  0.033115
             두통,찰과상    412  0.032955
         고열,전신쇠약,기침    412  0.032955
           복통,고열,기타    408  0.032635
    기타통증,염좌,그밖의통증기타    407  0.032555
       두통,그 밖의출혈,열상    402  0.032155
         두통,기타통증,고열    401  0.032075
         두통,기타통증,열상    400  0.031995
         흉통,호흡곤란,기타    390  0.031196
         두통,어지러움,구토    390  0.031196
  기타통증,그밖의통증기타,전신쇠약    388  0.031036
       기타통증,기타,어지러움    387  0.030956
             골절,타박상    385  0.030796
              요통,고열    381  0.030476
          심계항진,호흡곤란    371  0.029676
                 절단    368  0.029436
              복통,혈변    366  0.029276
       고열,전신쇠약,어지러움    365  0.029196
            어지러움,마비    365  0.029196
              골절,열상    358  0.028636
         찰과상,기타,타박상    358  0.028636
          정신장애,전신쇠약    357  0.028556
  기타통증,경추통증,그밖의통증기타    357  0.028556
  기타통증,그밖의통증기타,어지러움    357  0.028556
              실신,열상    355  0.028396
        심정지,호흡정지,기타    352  0.028156
         설사,어지러움,오심    345  0.027596
            전신쇠약,기침    344  0.027516
          심계항진,어지러움    344  0.027516
           복통,기타,오심    344  0.027516
         복통,어지러움,구토    343  0.027436
         기타통증,골절,열상    341  0.027276
      복통,오심/구토,전신쇠약    340  0.027196
             요통,찰과상    340  0.027196
       복통,전신쇠약,어지러움    338  0.027036
     두통,기타통증,그 밖의출혈    335  0.026796
         기타통증,골절,기타    334  0.026716
        기타통증,골절,찰과상    334  0.026716
            의식장애,마비    330  0.026396
       기타통증,고열,전신쇠약    328  0.026236
         두통,고열,전신쇠약    327  0.026156
        심정지,호흡정지,골절    325  0.025996
      오심/구토,기타,어지러움    319  0.025516
       요통,기타통증,경추통증    316  0.025276
         어지러움,가슴불편감    315  0.025196
         복통,고열,전신쇠약    314  0.025116
         기타,어지러움,구토    310  0.024796
        복통,오심/구토,기타    306  0.024477
       호흡곤란,기타,어지러움    305  0.024397
        기타통증,열상,타박상    303  0.024237
  기타통증,호흡곤란,그밖의통증기타    302  0.024157
         기타통증,기타이물질    301  0.024077
       기타통증,호흡곤란,기타    300  0.023997
           두통,기타,오심    298  0.023837
              두통,실신    296  0.023677
            전신쇠약,마비    294  0.023517
            심계항진,기타    292  0.023357
           설사,오심,구토    292  0.023357
           기타,가슴불편감    291  0.023277
               저체온증    288  0.023037
              토혈,혈변    288  0.023037
         기타통증,염좌,기타    285  0.022797
      복통,기타통증,오심/구토    280  0.022397
     기타통증,그 밖의출혈,골절    280  0.022397
            흉통,전신쇠약    280  0.022397
             기타,편마비    278  0.022237
         실신,어지러움,오심    278  0.022237
         고열,전신쇠약,설사    277  0.022157
    심정지,호흡정지,그 밖의출혈    276  0.022077
       실신,전신쇠약,어지러움    273  0.021837
             골절,찰과상    273  0.021837
         설사,어지러움,구토    273  0.021837
         의식장애,오심/구토    271  0.021677
              골절,염좌    270  0.021597
         기타,전신쇠약,기침    268  0.021437
       의식장애,호흡곤란,기타    267  0.021357
            어지러움,혈변    266  0.021277
         복통,기타,어지러움    264  0.021117
              두통,흉통    261  0.020877
            배뇨장애,기타    259  0.020717
           찰과상,어지러움    257  0.020557
              기타,설사    256  0.020477
           흉통,가슴불편감    256  0.020477
         복통,요통,기타통증    255  0.020397
       의식장애,기타,전신쇠약    254  0.020317
            기타통증,오심    253  0.020237
            복통,기타출혈    251  0.020077
            두통,호흡곤란    251  0.020077
            기타통증,구토    251  0.020077
      오심/구토,기타,전신쇠약    250  0.019997
            흉통,심계항진    249  0.019917
              흉통,복통    249  0.019917
             염좌,찰과상    247  0.019757
    기타통증,탈구,그밖의통증기타    243  0.019437
        두통,복통,오심/구토    242  0.019357
         요통,기타통증,열상    242  0.019357
           두통,복통,고열    242  0.019357
          기타통증,의식장애    241  0.019277
              고열,오심    241  0.019277
      두통,기타통증,오심/구토    240  0.019197
    기타통증,비출혈,그 밖의출혈    240  0.019197
            기타통증,화상    240  0.019197
            기타통증,실신    237  0.018957
         두통,실신,어지러움    235  0.018797
    흉통,기타통증,그밖의통증기타    235  0.018797
          기타통증,배뇨장애    230  0.018397
         두통,복통,기타통증    229  0.018317
            전신쇠약,혈변    229  0.018317
        두통,오심/구토,기타    227  0.018157
              두통,마비    227  0.018157
           타박상,어지러움    224  0.017917
         기타,전신쇠약,오심    224  0.017917
        기타통증,염좌,찰과상    223  0.017837
           복통,기타,구토    223  0.017837
       두통,기타통증,어지러움    221  0.017677
            요통,어지러움    220  0.017597
         심계항진,가슴불편감    220  0.017597
           기타,경련/발작    216  0.017278
         복통,전신쇠약,오심    216  0.017278
