                        value  count     ratio
                        구급기타1 562864 45.022709
                    응급구조사(2급) 560548 44.837455
                    응급구조사(1급)  78944  6.314621
                          간호사  23545  1.883332
                           기타  11907  0.952424
                          NaN   9872  0.789648
                          무자격   1041  0.083268
                  구급기타1,구급기타1    469  0.037515
          응급구조사(2급),응급구조사(2급)    272  0.021757
              응급구조사(2급),구급기타1    166  0.013278
          응급구조사(2급),응급구조사(1급)    125  0.009999
              구급기타1,응급구조사(2급)    121  0.009679
          응급구조사(1급),응급구조사(2급)     57  0.004559
              응급구조사(1급),구급기타1     51  0.004079
                    간호사,구급기타1     35  0.002800
          응급구조사(1급),응급구조사(1급)     32  0.002560
                간호사,응급구조사(2급)     27  0.002160
                       간호사,기타     15  0.001200
              구급기타1,응급구조사(1급)     14  0.001120
                        기타,기타     11  0.000880
                     기타,구급기타1     10  0.000800
                    구급기타1,간호사      8  0.000640
                         운전요원      7  0.000560
                 응급구조사(1급),기타      6  0.000480
                응급구조사(2급),간호사      5  0.000400
                       기타,간호사      5  0.000400
                      간호사,간호사      4  0.000320
                응급구조사(1급),간호사      3  0.000240
                 기타,응급구조사(1급)      2  0.000160
            구급기타1,구급기타1,구급기타1      2  0.000160
                간호사,응급구조사(1급)      2  0.000160
    응급구조사(2급),구급기타1,응급구조사(1급)      1  0.000080
                 기타,응급구조사(2급)      1  0.000080
응급구조사(2급),응급구조사(2급),응급구조사(2급)      1  0.000080
                         전문교육      1  0.000080
                    운전요원,운전요원      1  0.000080
                  간호사,간호사,간호사      1  0.000080
                     구급기타1,기타      1  0.000080
                 응급구조사(2급),기타      1  0.000080
