     value   count     ratio
       NaN 1179500 94.346565
 기타 오토바이사고   17006  1.360286
    기타 보행자   15199  1.215747
    기타 운전자   13871  1.109522
  기타 자전거사고   10938  0.874915
    기타 동승자   10155  0.812284
   기타 기타탈것    3034  0.242685
     기타 미상     272  0.021757
기타 개인형이동장치     195  0.015598
     자전거사고       2  0.000160
       보행자       2  0.000160
    오토바이사고       2  0.000160
       운전자       2  0.000160
