 value   count     ratio
  휴대전화 1067787 85.410798
  일반전화  108822  8.704520
    기타   71146  5.690870
  사후각지     873  0.069830
   무전기     816  0.065271
  공중전화     333  0.026636
   NaN     199  0.015918
 SMS신고      77  0.006159
 MMS신고      62  0.004959
 WEB신고      29  0.002320
  영상신고      11  0.000880
모바일앱신고      11  0.000880
전통시장신고       7  0.000560
    경찰       3  0.000240
사후재난생성       1  0.000080
  내부전화       1  0.000080
