연도,지역,평균기온,중앙기온,최저기온,최고기온,기온표준편차,평균습도,중앙습도,최저습도,최고습도,습도표준편차,평균풍속,중앙풍속,최저풍속,최고풍속,풍속표준편차
2017,부산,15.239155251141552,16.4,-7.7,36.1,8.80212139157327,60.271004566210046,61.0,11.0,98.0,20.33597422873865,3.166084474885845,3.0,0.0,14.6,1.6541655582797492
2018,부산,15.07587795048935,15.9,-9.6,36.0,9.221150914388694,63.12947149780752,65.0,11.0,100.0,20.900519277197077,3.1837100456621004,3.0,0.0,18.1,1.9289167632075337
2019,부산,15.739520547945206,16.4,-4.4,34.8,7.978579310957994,62.7925799086758,63.0,15.0,100.0,21.294208810939562,3.04780025139984,2.9,0.0,14.3,1.6322351075342596
2020,부산,15.195284200934047,15.7,-7.8,33.1,7.850711646809399,63.67645719489982,65.0,7.0,100.0,21.089963853823047,3.1636166818596174,2.9,0.0,16.5,1.8099255562760854
2021,부산,15.76216894977169,16.4,-12.2,34.6,8.517791985969174,64.90890410958905,66.0,14.0,100.0,19.530589370637397,3.1226747511726347,2.9,0.0,16.5,1.7466557081936323
2022,부산,15.412351598173517,16.5,-7.2,33.1,8.861447906367715,63.69611872146119,65.0,9.0,100.0,21.22861997878122,3.2324479047400962,3.0,0.0,13.3,1.763155367929781
2023,부산,16.077157534246574,16.9,-11.7,34.4,8.624578360248416,62.95540773024429,64.0,11.0,100.0,19.37193138166696,3.192853881278539,2.9,0.0,15.4,1.78558858526835
2024,부산,16.65830581805761,17.1,-7.2,34.6,8.83968899479926,66.1511839708561,68.0,13.0,97.0,17.936715029925356,3.311670272116589,3.1,0.0,15.2,1.6725942725815914
2025,부산,16.034828767123287,16.3,-10.0,34.5,9.341247965089277,62.851917808219184,66.0,12.0,97.0,20.03031196448953,3.1944114285714282,3.0,0.0,12.2,1.7120396456893319
