연도,지역,평균기온,중앙기온,최저기온,최고기온,기온표준편차,평균습도,중앙습도,최저습도,최고습도,습도표준편차,평균풍속,중앙풍속,최저풍속,최고풍속,풍속표준편차
2017,원주,12.13038812785388,13.7,-14.9,34.5,10.9089407409705,59.36974885844749,61.0,5.0,94.0,20.91348988275489,1.0046347031963472,0.8,0.0,6.0,0.8726523203855341
2018,원주,12.453952478866803,13.0,-17.4,38.3,11.655841318332161,59.930253830322435,61.0,8.0,95.0,20.42501368632359,1.0619634703196346,0.8,0.0,5.6,0.9055527748828421
2019,원주,13.01384703196347,13.7,-11.2,35.4,10.514826952356266,59.54543378995434,61.0,6.0,95.0,20.5561889331114,1.0063314285714284,0.8,0.0,7.3,0.8475516053453777
2020,원주,12.77188567524482,13.3,-14.4,34.0,10.179536988633194,62.03346994535519,64.0,6.0,97.0,20.45708515153598,1.0604690880109302,0.8,0.0,6.6,0.9063702581127228
2021,원주,12.985525114155251,14.2,-18.3,34.9,10.659258009838016,64.49132420091324,67.0,9.0,98.0,20.16152759485862,1.0400570776255706,0.8,0.0,6.9,0.8646720304405532
2022,원주,12.485737124586047,13.8,-15.1,34.5,11.276410492529623,62.446956720338015,64.0,12.0,97.0,20.141852506835207,1.0625742348104157,0.8,0.0,5.6,0.842111619127063
2023,원주,13.49893762851268,14.7,-17.6,34.1,10.887223050072276,63.990747087045925,66.0,10.0,97.0,20.8609949281589,0.9907210604502342,0.8,0.0,5.7,0.8221606759966472
2024,원주,14.543049072071048,15.4,-12.2,35.3,10.727191132810407,65.39280428099738,68.0,11.0,96.0,19.198281046225812,0.9917018123788899,0.8,0.0,5.6,0.790499900417802
2025,원주,13.4414068745004,14.6,-14.1,36.7,11.47172455876346,66.84800730843897,71.0,9.0,99.0,20.709697792460393,1.282507421785796,1.1,0.0,6.2,0.9774294309328754
