연월,시간대,지역,평균기온,중앙기온,최저기온,최고기온,기온표준편차,평균습도,중앙습도,최저습도,최고습도,습도표준편차,평균풍속,중앙풍속,최저풍속,최고풍속,풍속표준편차
201701,0,원주,-3.129032258064516,-2.5,-10.3,6.5,4.4822013600749875,65.41935483870968,67.0,26.0,93.0,15.997446032723238,0.6451612903225806,0.5,0.0,2.6,0.6195905689391016
201701,1,원주,-3.467741935483871,-1.8,-10.9,5.9,4.687173071036471,66.96774193548387,69.0,28.0,93.0,15.795534961854974,0.6548387096774194,0.3,0.0,2.7,0.7890241693287643
201701,2,원주,-3.796774193548387,-2.2,-12.2,5.3,5.019062586510735,68.64516129032258,72.0,29.0,91.0,15.621669537529755,0.5774193548387097,0.3,0.0,3.2,0.7927629647502272
201701,3,원주,-4.103225806451613,-3.6,-12.9,5.1,5.192333057561423,69.51612903225806,74.0,31.0,91.0,15.749859190358782,0.6548387096774194,0.3,0.0,3.2,0.891006438314718
201701,4,원주,-4.548387096774194,-4.2,-13.1,4.8,5.215225847953402,70.3225806451613,76.0,36.0,88.0,15.258630556233177,0.7096774193548387,0.4,0.0,3.6,0.8863238079128408
201701,5,원주,-4.94516129032258,-4.7,-14.0,4.6,5.352621707143608,71.54838709677419,77.0,38.0,87.0,15.063949702689573,0.5096774193548387,0.2,0.0,3.0,0.7318264087016253
201701,6,원주,-5.312903225806451,-5.2,-14.2,4.5,5.448898478009653,72.35483870967742,77.0,38.0,90.0,14.552315708268507,0.44516129032258067,0.1,0.0,2.3,0.5971257319735486
201701,7,원주,-5.6,-5.6,-14.7,4.3,5.487986880450791,73.3225806451613,78.0,42.0,90.0,13.292572103181518,0.46774193548387094,0.3,0.0,2.7,0.6384288510472114
201701,8,원주,-5.764516129032257,-5.4,-14.9,4.1,5.447051091315176,73.51612903225806,79.0,37.0,90.0,13.99254793986651,0.5225806451612903,0.3,0.0,2.9,0.6873668003908611
201701,9,원주,-4.922580645161291,-5.0,-13.6,4.0,5.059493365770883,69.3225806451613,74.0,31.0,92.0,15.86271749895373,0.6516129032258065,0.3,0.0,2.6,0.7932511026326765
201701,10,원주,-3.6516129032258067,-3.7,-11.3,5.4,4.708706189442554,63.45161290322581,63.0,24.0,93.0,16.449597177798243,0.6483870967741936,0.5,0.0,2.7,0.6840423806275628
201701,11,원주,-2.3290322580645157,-2.6,-8.7,6.7,4.474385883253484,55.54838709677419,52.0,19.0,83.0,16.041277400667354,0.9838709677419355,0.8,0.0,2.8,0.8695197042787657
201701,12,원주,-0.8548387096774194,-1.8,-7.7,9.5,4.670819964394362,50.483870967741936,50.0,22.0,78.0,14.832106992921211,1.0935483870967742,0.9,0.0,3.1,0.8342403665894571
201701,13,원주,0.5064516129032258,0.4,-6.8,11.4,4.692968888587193,46.67741935483871,43.0,22.0,75.0,14.929583822675019,1.1838709677419357,0.8,0.0,3.4,0.9815283233113375
201701,14,원주,1.3483870967741935,0.7,-5.7,11.9,4.721925523042616,43.12903225806452,41.0,19.0,70.0,14.233158317777706,1.4516129032258065,1.1,0.0,3.5,1.0317851739394641
201701,15,원주,1.8580645161290323,1.4,-5.3,11.2,4.67345512396331,41.54838709677419,41.0,18.0,76.0,14.879154791581005,1.474193548387097,1.3,0.0,3.8,0.9197708924638003
201701,16,원주,1.8838709677419356,1.7,-4.7,11.1,4.510661206090416,40.935483870967744,38.0,17.0,84.0,15.720338172509665,1.535483870967742,1.5,0.0,4.2,1.0559508786229197
201701,17,원주,1.467741935483871,1.1,-5.3,10.4,4.400862574297164,42.225806451612904,41.0,20.0,87.0,15.660373936402571,1.2451612903225806,1.0,0.0,3.9,0.9992793101955761
201701,18,원주,0.567741935483871,0.2,-6.0,9.9,4.104013246955082,46.70967741935484,48.0,18.0,89.0,15.989983423771053,1.0032258064516129,0.9,0.0,2.7,0.7547555325921729
