연월,시간대,지역,평균기온,중앙기온,최저기온,최고기온,기온표준편차,평균습도,중앙습도,최저습도,최고습도,습도표준편차,평균풍속,중앙풍속,최저풍속,최고풍속,풍속표준편차
201701,0,서울,-2.6322580645161286,-1.9,-10.9,4.3,4.729509283690659,60.12903225806452,58.0,30.0,92.0,16.308978990081652,2.1129032258064515,2.1,0.3,4.7,1.1256825886201585
201701,1,서울,-2.92258064516129,-2.6,-11.1,4.6,4.875497217544028,60.70967741935484,60.0,31.0,91.0,15.509553074126275,2.074193548387097,2.1,0.2,4.8,1.1398736017458202
201701,2,서울,-3.196774193548387,-3.4,-10.9,4.9,4.960946406413985,61.67741935483871,60.0,33.0,90.0,15.175390377788625,1.835483870967742,1.6,0.3,4.4,1.0400475588794884
201701,3,서울,-3.541935483870968,-3.7,-11.0,4.8,4.969961381040326,62.54838709677419,62.0,33.0,86.0,15.180774485463337,1.9258064516129034,1.8,0.2,5.9,1.348818678680344
201701,4,서울,-3.9516129032258065,-4.1,-11.3,4.4,4.96399509587066,63.32258064516129,65.0,34.0,91.0,15.898400541719479,1.7935483870967743,1.7,0.3,5.0,1.0996773720417479
201701,5,서울,-4.283870967741936,-4.5,-12.2,4.1,5.03117592445302,63.12903225806452,64.0,35.0,91.0,15.497831967695506,1.7032258064516128,1.4,0.3,3.9,0.9796202907139554
201701,6,서울,-4.52258064516129,-4.6,-12.6,4.0,5.074098256663895,63.41935483870968,63.0,37.0,93.0,16.06190979418572,1.9838709677419355,1.6,0.8,4.8,1.0872279044105848
201701,7,서울,-4.648387096774194,-5.3,-12.4,4.2,5.094367541232305,63.54838709677419,63.0,37.0,93.0,15.770941019646267,1.9516129032258065,1.4,0.6,4.1,1.0776118558311971
201701,8,서울,-4.767741935483872,-5.4,-12.3,4.1,5.041982883533964,62.774193548387096,64.0,28.0,92.0,16.66875255764381,1.9451612903225806,1.6,0.7,4.2,0.9848311901632074
201701,9,서울,-4.1967741935483875,-4.8,-11.8,4.8,4.863913641706491,59.25806451612903,60.0,27.0,87.0,14.742156653478451,2.1774193548387095,2.0,0.1,4.7,1.2661515647608057
201701,10,서울,-2.6193548387096777,-4.0,-10.2,6.7,4.717302856141329,53.54838709677419,52.0,25.0,86.0,14.950671578399458,2.3870967741935485,2.4,0.7,5.1,1.1943595035230865
201701,11,서울,-1.0032258064516129,-1.9,-8.6,9.2,4.860828727077153,49.903225806451616,51.0,27.0,82.0,15.05181016513668,2.458064516129032,2.3,0.7,5.1,1.0468282869533052
201701,12,서울,0.09999999999999999,-0.4,-7.6,10.3,4.995331153520588,46.61290322580645,46.0,25.0,81.0,14.994837821407826,2.509677419354839,2.3,0.7,5.7,1.2897945156004962
201701,13,서울,1.1580645161290322,0.7,-6.7,10.4,4.971503742567795,44.54838709677419,45.0,22.0,89.0,16.235431848639813,2.754838709677419,2.8,0.9,5.0,1.1963384999454014
201701,14,서울,1.8774193548387095,1.0,-6.1,10.6,4.805948375185301,42.87096774193548,44.0,21.0,91.0,15.58576687340915,2.8129032258064517,2.8,0.7,5.5,1.23146036219438
201701,15,서울,2.141935483870968,1.0,-5.7,10.9,4.649356528492116,42.58064516129032,39.0,17.0,92.0,17.41412107754008,2.97741935483871,3.0,0.9,5.7,1.2973587726401037
201701,16,서울,2.0548387096774197,0.6,-5.5,11.0,4.539077638293007,42.32258064516129,35.0,18.0,93.0,18.456050673196934,3.0,2.9,0.5,6.2,1.2633289357883006
201701,17,서울,1.164516129032258,0.7,-6.5,9.1,4.446387926328274,44.96774193548387,42.0,19.0,94.0,19.03765369115943,2.661290322580645,2.3,0.7,5.6,1.3647166786198612
