변수,N,총계,평균,표준편차,최솟값,중앙값,최댓값
출동수,15552.0,1250175.0,80.38676697530865,30.697329890672755,13.0,78.0,217.0
이송수,15274.0,1226656.0,80.31006939897865,35.49837070553736,1.0,76.0,227.0
평균기온,15552.0,218391.96524008497,14.042693238174188,9.962279890272105,-7.17741935483871,14.693440860215052,33.07419354838709
