변수,소방서,관측N,표본평균,표본분산,분산÷평균,포아송 평균제곱피어슨잔차,포아송 AIC,음이항 AIC,음이항 alpha
출동수,전체,15274,80.37737331412859,940.9654174174925,11.706844583487916,2.017007476739551,124828.1967472295,120021.1142750879,0.011960568224775217
출동수,강남소방서,2544,113.96147798742139,992.6622984045487,8.710507409478444,2.4262566972618713,,,
출동수,강동소방서,2544,80.5994496855346,587.4537315098545,7.288557599361456,1.7114381226687387,,,
출동수,노원소방서,2544,86.70833333333333,575.8850111416962,6.641633958385732,1.6974813862756517,,,
출동수,수성소방서,2545,66.31198428290766,478.90891685509877,7.222056797635909,1.788957428401554,,,
출동수,해운대소방서,2549,58.73440564927422,381.16922787463056,6.48970945838354,1.8472579734575834,,,
출동수,원주소방서,2548,76.00353218210361,777.9383463723443,10.235555164836455,2.630112520214222,,,
이송수,전체,15274,80.31006939897865,1260.1343227477532,15.690863327329899,3.5691168606225068,152057.374058836,130775.84358694036,0.029662432661891367
이송수,강남소방서,2544,95.81525157232704,1132.565933243804,11.820309550498607,3.789163245264014,,,
이송수,강동소방서,2544,81.73860062893081,1013.228143695729,12.395956572531583,3.242880368420468,,,
이송수,노원소방서,2544,103.02948113207547,1347.6935858887512,13.08065974010989,3.4783882125242034,,,
이송수,수성소방서,2545,73.38231827111984,927.1647029568398,12.634715348339334,3.290859755021175,,,
이송수,해운대소방서,2549,55.40290309925461,557.6425504384088,10.065222564950956,3.2734702121033044,,,
이송수,원주소방서,2548,72.55572998430141,1097.7248081437883,15.129402024916553,4.33941864838817,,,
