소방서,N,총출동수,평균출동수,총이송수,평균이송수
강남소방서,2592,295399,113.96566358024691,243754,95.81525157232704
강동소방서,2592,208993,80.63001543209876,207943,81.73860062893081
노원소방서,2592,224662,86.67515432098766,262107,103.02948113207547
수성소방서,2592,172023,66.36689814814815,186758,73.38231827111984
원주소방서,2592,196642,75.86496913580247,184872,72.55572998430141
해운대소방서,2592,152456,58.8179012345679,141222,55.40290309925461
