연도,관측N,총출동수,총이송수,이송수결측N,평균기온,출동수 전년대비,이송수 전년대비
2017,1728,128969,102409.0,0,13.432546814337114,,
2018,1728,130210,118576.0,0,13.37784732253712,0.9622467414650115,15.78669843470788
2019,1728,129263,127075.0,0,13.999203304567049,-0.7272866907303555,7.167554985831881
2020,1728,117532,113672.0,0,13.69578883515978,-9.075296101746055,-10.547314578005118
2021,1728,140154,139656.0,0,14.049535539163394,19.247524078548818,22.858751495531003
2022,1728,160119,132083.0,278,13.689563175261608,14.245044736504141,-5.4226098413244
2023,1728,156477,166939.0,0,14.450502318738437,-2.2745582972664047,26.389467228939377
2024,1728,146448,162787.0,0,15.261004183501461,-6.40924864357062,-2.487136019743741
2025,1728,141003,163459.0,0,14.428247650301726,-3.7180432645034456,0.4128093766701202
