지표,소방서,기온구간,연령대,건수,관측N,시간당평균건수,구성비
출동수,노원소방서,10 ~ 15,미상,3974,358,11.100558659217876,13.834157209496622
출동수,노원소방서,15 ~ 20,10대,1164,333,3.4954954954954953,3.955416610031263
출동수,노원소방서,15 ~ 20,20대,1751,333,5.258258258258258,5.950115536224004
출동수,노원소방서,15 ~ 20,30대,1542,333,4.63063063063063,5.2399075710207965
출동수,노원소방서,15 ~ 20,40대,2067,333,6.207207207207207,7.023922794617371
출동수,노원소방서,15 ~ 20,50대,3607,333,10.831831831831831,12.257034117167324
출동수,노원소방서,15 ~ 20,60대,4218,333,12.666666666666666,14.333288025010194
출동수,노원소방서,15 ~ 20,70대,4347,333,13.054054054054054,14.771646051379639
출동수,노원소방서,15 ~ 20,80세 이상,4778,333,14.348348348348349,16.23623759684654
출동수,노원소방서,15 ~ 20,9세 이하,1812,333,5.441441441441442,6.157401114584749
출동수,노원소방서,15 ~ 20,미상,4142,333,12.438438438438439,14.07503058311812
출동수,노원소방서,20 ~ 25,10대,1579,433,3.6466512702078524,4.115515938176037
출동수,노원소방서,20 ~ 25,20대,2418,433,5.584295612009238,6.30229103135507
출동수,노원소방서,20 ~ 25,30대,1995,433,4.607390300230947,5.199781061850027
출동수,노원소방서,20 ~ 25,40대,2734,433,6.3140877598152425,7.125915500299737
출동수,노원소방서,20 ~ 25,50대,4809,433,11.106235565819862,12.534209085933224
출동수,노원소방서,20 ~ 25,60대,5628,433,12.99769053117783,14.668856048166393
출동수,노원소방서,20 ~ 25,70대,5523,433,12.755196304849884,14.395183360700603
출동수,노원소방서,20 ~ 25,80세 이상,6081,433,14.043879907621248,15.849558214090234
출동수,노원소방서,20 ~ 25,9세 이하,2218,433,5.122401847575058,5.781009721896421
출동수,노원소방서,20 ~ 25,미상,5382,433,12.429561200923787,14.027680037532253
출동수,노원소방서,25 ~ 30,10대,1764,418,4.220095693779904,4.219389097519554
출동수,노원소방서,25 ~ 30,20대,2375,418,5.681818181818182,5.68086684048126
출동수,노원소방서,25 ~ 30,30대,2064,418,4.937799043062201,4.936972277369819
출동수,노원소방서,25 ~ 30,40대,2897,418,6.930622009569378,6.929461573420719
출동수,노원소방서,25 ~ 30,50대,5033,418,12.04066985645933,12.038653813954602
출동수,노원소방서,25 ~ 30,60대,6025,418,14.413875598086124,14.411462195326141
출동수,노원소방서,25 ~ 30,70대,6107,418,14.610047846889952,14.607601597818547
출동수,노원소방서,25 ~ 30,80세 이상,6900,418,16.507177033492823,16.504413136556078
출동수,노원소방서,25 ~ 30,9세 이하,1997,418,4.777511961722488,4.776712033869926
출동수,노원소방서,25 ~ 30,미상,6645,418,15.897129186602871,15.894467433683355
출동수,노원소방서,30 ~ 35,10대,232,51,4.549019607843137,4.251420194245922
출동수,노원소방서,30 ~ 35,20대,280,51,5.490196078431373,5.1310243723657685
출동수,노원소방서,30 ~ 35,30대,232,51,4.549019607843137,4.251420194245922
출동수,노원소방서,30 ~ 35,40대,348,51,6.823529411764706,6.377130291368884
출동수,노원소방서,30 ~ 35,50대,600,51,11.764705882352942,10.995052226498075
출동수,노원소방서,30 ~ 35,60대,851,51,16.686274509803923,15.594649074583103
출동수,노원소방서,30 ~ 35,70대,830,51,16.274509803921568,15.209822246655671
